2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     550	   2154822 ns/op	 1476778 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     562	   2150483 ns/op	 1476779 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2137925 ns/op	 1476768 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2154474 ns/op	 1476781 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     548	   2141656 ns/op	 1476777 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2140671 ns/op	 1476774 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     550	   2145634 ns/op	 1476778 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     554	   2164843 ns/op	 1476774 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2145521 ns/op	 1476773 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     558	   2137312 ns/op	 1476781 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     561	   2149995 ns/op	 1476778 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2176617 ns/op	 1476782 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     554	   2141503 ns/op	 1476769 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     549	   2153026 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     560	   2146739 ns/op	 1476772 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2144630 ns/op	 1476776 B/op	   20539 allocs/op
PASS
ok  	importer/customerimporter	141.225s
